0x14ffd18de1,bayonetta_airshooter
0x15c165bd83,bayonetta_bowlingball
0xd3345a55c0,bayonetta_box
0x10340ddbb8,bayonetta_breath
0xf9b1734bf0,bayonetta_broom
0xf28c8d5270,bayonetta_bruce
0xf1cbbbbcb0,bayonetta_brush
0x10e909a2fd,bayonetta_bucket
0x124f42bc20,bayonetta_building
0x10b425a42e,bayonetta_bullet
0x112164605f,bayonetta_bunshin
0xf9022c9b80,bayonetta_burst
0xd14ba860f0,bayonetta_bus
0x16853ab4cc,bayonetta_butterflynet
0xcac70700e0,bayonetta_c4
0x12176cce3f,bayonetta_c4switch
0xd58d057b40,bayonetta_can
0x148ece00ca,bayonetta_cannonball
0xda2df6ad70,bayonetta_cap
0xf2421dbd00,bayonetta_cappy
0x16a293ffc7,bayonetta_capsuleblock
0x116fc76f1b,bayonetta_chakram
0x16ecdbbe0c,bayonetta_championbelt
0x11ab903643,bayonetta_changer
0x16fbbd8420,bayonetta_chaosemerald
0x141f85211b,bayonetta_chargeshot
0x11a84dbed1,bayonetta_chariot
0x16de0e1b96,bayonetta_chariotsight
0xf8d2d9ad70,bayonetta_chrom
0xeb8cf0e4b0,bayonetta_clay
0x14f175ae28,bayonetta_clayrocket
0xfdf407fdc0,bayonetta_cloud
0x1066d42b6c,bayonetta_coffin
0x10e2bf2c24,bayonetta_condor
0x1a2ac6422f,bayonetta_copy_inkling_gun
0x1bfa1a5f9b,bayonetta_copy_inkling_tank
0xfe93fda3c0,bayonetta_crack
0x11f2ad3607,bayonetta_cracker
0xf3af499d70,bayonetta_crash
0x137f928643,bayonetta_crashbomb
0xfba0f7d310,bayonetta_cross
0xfbd65d4ec0,bayonetta_crown
0x117b3da1f1,bayonetta_crystal
0xf7fefc42f0,bayonetta_cshot
0x104e2c7f44,bayonetta_cypher
0x1276465d4d,bayonetta_daimonji
0x1384b5d24c,bayonetta_deathball
0xe61c302b20,bayonetta_dein
0x108d0bbf37,bayonetta_dein_s
0x105cff145f,bayonetta_demonp
0x113a93f344,bayonetta_dengeki
0x15096758f3,bayonetta_dengekidama
0xff75f6c010,bayonetta_diver
0x123dbc22d7,bayonetta_dkbarrel
0x127cbecaee,bayonetta_doclouis
0xfb6a79ab50,bayonetta_dokan
0x10146cfbb0,bayonetta_dolfin
0x14d44f750c,bayonetta_doseitable
0xf8b794a6e0,bayonetta_doyle
0x14e6b738ac,bayonetta_dragonhand
0x13ec8937ce,bayonetta_drcapsule
0x1288f0de67,bayonetta_drmantle
0x105be59ecc,bayonetta_dunban
0x10bb40babf,bayonetta_elwind
0xfc63df4780,bayonetta_entry
0x15650b1853,bayonetta_entryobject
0xdb41646440,bayonetta_esa
0x18435bd92f,bayonetta_escapeairdummy
0x10bb0a9b03,bayonetta_esword
0x13cbe97ac4,bayonetta_explosion
0x180b95def6,bayonetta_explosiveflame
0x20932bd86b,bayonetta_explosiveflame_reserve
0x17e22a9ce8,bayonetta_exprosiveshot
0xfcd00aedd0,bayonetta_fairy
0x156fb7bed7,bayonetta_falconpunch
0xf00f550500,bayonetta_fence
0x13689f4c83,bayonetta_finalbeam
0x1379b64cd1,bayonetta_finalbird
0x12b884b93b,bayonetta_finalcan
0x15571048d4,bayonetta_finalcutter
0x19c375ac0b,bayonetta_finalcuttershot
0x125a943a94,bayonetta_finaldog
0x138a877798,bayonetta_finalduck
0x14ed2a980e,bayonetta_finalenemy
0x14beb85d54,bayonetta_finalgrass
0x1590bfbc8d,bayonetta_finalgunman
0xf1f5562d60,bayonetta_fiora
0xefc34214f0,bayonetta_fire
0xffc4ad62d0,bayonetta_fire2
0x1281eb6127,bayonetta_fireball
0x15a73d0e2e,bayonetta_firehydrant
0x1aa8e8ae61,bayonetta_firehydrantwater
0x141d2ad218,bayonetta_firepillar
0x12a69741fc,bayonetta_firework
0x1500221d1d,bayonetta_fishingline
0x148d40ada1,bayonetta_fishingrod
0x156f115ed7,bayonetta_flamepillar
0x10a020f073,bayonetta_flare1
0x103929a1c9,bayonetta_flare2
0x14bbcfb0e0,bayonetta_flaredummy
0x1752931aa8,bayonetta_flaregrenades
0xf42d2360b0,bayonetta_flash
0x10a9e15581,bayonetta_flower
0x13ee8b79ee,bayonetta_flowerpot
0xe70d201770,bayonetta_food
0xf1e182f240,bayonetta_forge
0xf7ff76eb60,bayonetta_forte
0x132e5aa993,bayonetta_fourwings
0x1651ac036e,bayonetta_fullthrottle
0x13dc23c16b,bayonetta_furniture
0xf292f06ee0,bayonetta_fusin
0x15154fb97a,bayonetta_fusionsword
0x102784bba2,bayonetta_ganond
0x10ee28eeb8,bayonetta_garlic
0xe1cc1b0140,bayonetta_gate
0xf90fa44080,bayonetta_gbeam
0x13a80dbdb5,bayonetta_gekkougas
0x12c73615c5,bayonetta_gigafire
0x15e2871965,bayonetta_gimmickjump
0x11239ca5a7,bayonetta_godwing
0x126a1b0c8e,bayonetta_gomorrah
0x138931f28d,bayonetta_gongfinal
0xfe880bc490,bayonetta_gordo
0xf4511f6fb0,bayonetta_grass
0x1196575d59,bayonetta_grenade
0x193c3abf70,bayonetta_grenadelauncher
0x14cecaece6,bayonetta_groundbomb
0xd7177283d0,bayonetta_gun
0x10d62dab5f,bayonetta_gunman
0x169b601ab1,bayonetta_gunmanbullet
0x1669a14a75,bayonetta_gunnercharge
0x118953729b,bayonetta_gunship
0xeb87b0c440,bayonetta_gyro
0x14f0e245f3,bayonetta_gyroholder
0x11e3df7e4f,bayonetta_hadoken
0xe381d49990,bayonetta_hair
0x10d0c31e6d,bayonetta_hammer
0x15e5390492,bayonetta_hardknuckle
0xda9e7412f0,bayonetta_hat
0x10749c7afd,bayonetta_helmet
0x12aa0c4a43,bayonetta_himohebi
0x13f5aaa26d,bayonetta_himohebi2
0xecc2715110,bayonetta_hole
0x15e1662301,bayonetta_hominglaser
0x16a3b2bb76,bayonetta_homingtarget
0x1228fc29eb,bayonetta_hookshot
0x169c3cff92,bayonetta_hookshothand
0xe8fb4f3460,bayonetta_horn
0xf8f8646100,bayonetta_horse
0xf8ac950950,bayonetta_house
0x12a2a4f080,bayonetta_hugebeam
0x15ad798887,bayonetta_hugecapsule
0x138a48b4c0,bayonetta_hugeflame
0x12a24c8266,bayonetta_hulahoop
0xdf0a369680,bayonetta_ice
0x11b1ab34a5,bayonetta_iceberg
0x169353768d,bayonetta_iceberg_wind
0x147f4f30ec,bayonetta_iceberghit
0x112a04bace,bayonetta_iceshot
0x12705afbe8,bayonetta_illusion
0x13ebb603c9,bayonetta_inkbullet
0x12f58a9beb,bayonetta_ironball
0x137a21753e,bayonetta_jethammer
0x12f08c1336,bayonetta_kaminari
0xe6afd88d80,bayonetta_kart
0x1094450711,bayonetta_kassar
0x11bf15cd15,bayonetta_kinopio
0x1625a232e5,bayonetta_kinopiospore
0xf575cf1200,bayonetta_knife
0x105e210be5,bayonetta_koopag
0x12688cf2e9,bayonetta_kumatora
0x1570c80d89,bayonetta_kurofukuhat
0xf0450cdc40,bayonetta_laser
0x1086d8e869,bayonetta_laser2
0x14ec46df9a,bayonetta_leafcutter
0x14ed61c62f,bayonetta_leafshield
0x11e0c4cb4e,bayonetta_leftarm
0x133b37bd48,bayonetta_lightning
0x17a39a018c,bayonetta_lightshuriken
0x1453a58192,bayonetta_littlemacg
0x18a3755308,bayonetta_lock_on_cursor
0x164aa99803,bayonetta_lockoncursor
0x1bcbfef754,bayonetta_lockoncursorready
0x128f7f99d9,bayonetta_lucariom
0x1354447557,bayonetta_magichand
0x13eea4fd6d,bayonetta_mainlaser
0x10d35d8641,bayonetta_mantle
0xff741ad960,bayonetta_mario
0xedb85ebb00,bayonetta_mask
0x13785e5754,bayonetta_maskfinal
0xf1feabaae0,bayonetta_mball
0x18feef2a5a,bayonetta_megaphonelaser
0xe9cde40070,bayonetta_melt
0x10ac638839,bayonetta_meteor
0x11fcf4cd16,bayonetta_mewtwom
0x14c1b1e82d,bayonetta_miimissile
0x16693181a7,bayonetta_miipartshead
0xe18ccb4960,bayonetta_milk
0x11d02fc69f,bayonetta_missile
0xecea243b80,bayonetta_mona
0x126c6743a9,bayonetta_moneybag
0x1533ab8bd7,bayonetta_monsterball
0xe47066f680,bayonetta_moon
0x14580a4a50,bayonetta_narrowbeam
0xe47fec1530,bayonetta_navy
0x106b6e765e,bayonetta_needle
0x1488ce78ca,bayonetta_needlehave
0x193b24ba2b,bayonetta_newdededehammer
0x10c3ef237f,bayonetta_nikita
0x1779fcbecb,bayonetta_nikitamissile
0x178b5b6be2,bayonetta_normal_weapon
0x124796a211,bayonetta_obakyumu
0x1132e74451,bayonetta_octopus
0x107a67ff59,bayonetta_office
0xd771d45f40,bayonetta_oil
0xda665a3830,bayonetta_pad
0xf4fb1ba070,bayonetta_panel
0x130c7b2094,bayonetta_parachute
0x13bdd86655,bayonetta_paralyzer
0x1abafd5f7e,bayonetta_paralyzer_bullet
0x1268827593,bayonetta_parasail
0x11cd9c80fe,bayonetta_partner
0xff0b131620,bayonetta_paula
0x117a44c756,bayonetta_peanuts
0x157c10d052,bayonetta_pfushigisou
0x1194214846,bayonetta_phantom
0xe3d27271b0,bayonetta_pick
0x181aae23fa,bayonetta_picopicohammer
0xfa9d6622b0,bayonetta_piece
0xdf7b578310,bayonetta_pig
0x1092e999c5,bayonetta_pikmin
0x13b6cf5eab,bayonetta_piratehat
0x1023aea8b6,bayonetta_pkfire
0x11866ce63a,bayonetta_pkflash
0x1219bddeab,bayonetta_pkfreeze
0x15c2978ca4,bayonetta_pkstarstorm
0x13de410ac0,bayonetta_pkthunder
0xf9c82be530,bayonetta_plate
0x13fdd230e7,bayonetta_plizardon
0x11f357c344,bayonetta_plunger
0x11ceb3d640,bayonetta_pointer
0x16bcc56db3,bayonetta_poisonbreath
0x107a66a41c,bayonetta_pompon
0xdaf3457850,bayonetta_poo
0xd25519e690,bayonetta_pot
0x13bf64385f,bayonetta_powerstar
0x15c29e2b1d,bayonetta_psychobreak
0x123f264453,bayonetta_ptrainer
0xe3cfd996d0,bayonetta_pump
0x1394369074,bayonetta_pumpwater
0x10e876435a,bayonetta_punch1
0x10717f12e0,bayonetta_punch2
0x1006782276,bayonetta_punch3
0x135bb4bf0d,bayonetta_pushfinal
0x14a4acd137,bayonetta_pushobject
0x13ec79b73f,bayonetta_pzenigame
0x10267a0fd5,bayonetta_qigong
0xefdb6c3010,bayonetta_rail
0x1a1289916b,bayonetta_rapidshot_bullet
0x19f0811b10,bayonetta_reflectionboard
0x1582a362f0,bayonetta_remainclown
0x10f4470360,bayonetta_rescue
0x11e35754ca,bayonetta_reserve
0x11b66804fe,bayonetta_reticle
0x1802c7a355,bayonetta_reticle_cursor
0x1204a50e65,bayonetta_rightarm
0xeb1f904b40,bayonetta_riki
0xe2b36ddf60,bayonetta_ring
0x14357669fe,bayonetta_rockbuster
0x15732f02c0,bayonetta_rockmandash
0x14926845b7,bayonetta_rockmanexe
0x121dffa23a,bayonetta_rockmanx
0x1074c08ca3,bayonetta_roller
0x134e3521fe,bayonetta_rollerink
0xe15f4ffb70,bayonetta_rope
0xf4fc56cdd0,bayonetta_rope2
0x1c947e5178,bayonetta_rosettaticomissile
0x12286ec467,bayonetta_roysword
0xe8268afb40,bayonetta_rpg7
0x10b4d159b9,bayonetta_rubber
0x1225fd0172,bayonetta_rushcoil
0x131a0fd308,bayonetta_ryusensya
0xe2181d94d0,bayonetta_sack
0x105971ca06,bayonetta_samusp
0x11b6d89f63,bayonetta_scarier
0x10bac64ffc,bayonetta_search
0xee06dcb860,bayonetta_seed
0x1415638f68,bayonetta_shadowball
0x15a5ecf44f,bayonetta_shadowmario
0x1713ba9c19,bayonetta_shinkuhadoken
0x149d1b5422,bayonetta_shinryuken
0x1db132479a,bayonetta_shootingstarrockman
0x10f4b7373d,bayonetta_shovel
0x10db963d5d,bayonetta_shrine
0x123958f644,bayonetta_shuriken
0x145880ce31,bayonetta_silhouette
0x15c780420a,bayonetta_silhouettel
0x10cf4da959,bayonetta_simple
0x122cde59e1,bayonetta_simple2l
0x12d6d16482,bayonetta_simple2r
0xfe22faba40,bayonetta_sleep
0x139f9cde74,bayonetta_slingshot
0x1141c09e85,bayonetta_slosher
0xf700fa6250,bayonetta_spark
0xf7282e7ab0,bayonetta_spear
0x13a61bf077,bayonetta_spearhand
0x19783f4c38,bayonetta_specialn_bullet
0x1827546754,bayonetta_specialupdummy
0x1341b0f823,bayonetta_spikeball
0x10e229d97a,bayonetta_spiral
0x127367cb1f,bayonetta_spitball
0x10b40e80ab,bayonetta_splash
0x14a9dfa688,bayonetta_splashbomb
0x16c713fc40,bayonetta_spreadbullet
0x1a990a9a0a,bayonetta_sprinkling_water
0x104c0d76c4,bayonetta_sprout
0xfea151ce70,bayonetta_squid
0xf83d5b56d0,bayonetta_stake
0xe6d3172940,bayonetta_star
0x1524f8387a,bayonetta_starmissile
0x13548078a9,bayonetta_starpiece
0x15ee780b76,bayonetta_stealthbomb
0x175b419a62,bayonetta_stealthbomb_s
0x1589f9da3b,bayonetta_stethoscope
0xff43c6c220,bayonetta_stone
0x11482dd41d,bayonetta_strings
0xfb45d91360,bayonetta_stuff
0xfa37dfdac0,bayonetta_stump
0x13a1b1c9fc,bayonetta_sunbullet
0x168559e8de,bayonetta_supermissile
0x1400bcd1fe,bayonetta_supersonic
0x1865ecd82c,bayonetta_sweatlittlemac
0xf0c0ade520,bayonetta_swing
0xf77f9ae070,bayonetta_sword
0x1084c6d200,bayonetta_sword2
0x13f4bc58e4,bayonetta_swordbeam
0x140d9b07b7,bayonetta_swordflare
0xf1b35e64e0,bayonetta_table
0xef98766090,bayonetta_takt
0x10fcfd2bb2,bayonetta_tamago
0x10c2607e18,bayonetta_tatami
0x14db85397f,bayonetta_throwsweat
0x119ecf1b18,bayonetta_thunder
0xeb52874550,bayonetta_tico
0xfd8c7e4920,bayonetta_timmy
0xffdacbb4e0,bayonetta_tommy
0x11418b5848,bayonetta_tomnook
0x114d3c68c3,bayonetta_tornado
0x15f2a51719,bayonetta_tornadoshot
0xf4919f30b0,bayonetta_towel
0x15eeeda154,bayonetta_trafficsign
0x145cff898d,bayonetta_trampoline
0x1877699543,bayonetta_transportation
0xe13d4765c0,bayonetta_tree
0x16ddbf4ae8,bayonetta_trenchmortar
0x1c920711dd,bayonetta_trenchmortarbullet
0x12e6537652,bayonetta_triforce
0x11251af57d,bayonetta_trolley
0x140d8dc262,bayonetta_ultrasword
0x17b39df95b,bayonetta_ultraswordhat
0x12bd38eda2,bayonetta_umbrella
0xe4a5a2b8d0,bayonetta_vine
0x10ad77f5cf,bayonetta_vortex
0x1302ded041,bayonetta_waddledee
0x13f66296df,bayonetta_wariobike
0x126735cd2c,bayonetta_warioman
0x1217fc1448,bayonetta_warpstar
0xf162f7dd20,bayonetta_water
0x159996d044,bayonetta_waterdragon
0x154ea747ec,bayonetta_waterstream
0xe7eee85090,bayonetta_wave
0xfeab522150,bayonetta_weeds
0xed1b854f30,bayonetta_whip
0xf3eb0a5ff0,bayonetta_whip2
0x1205ccbb58,bayonetta_whiphand
0x1292d5c0e2,bayonetta_whipwire
0x13092ad80d,bayonetta_whitebear
0x181219756e,bayonetta_wickedweavearm
0x18ff978bb5,bayonetta_wickedweaveleg
0x1221d55713,bayonetta_widebeam
0xfeb229f000,bayonetta_wiibo
0xe9ee0d9050,bayonetta_win1
0xe07e988bf0,bayonetta_win2
0xe70eeb8290,bayonetta_win3
0x1085d26d86,bayonetta_window
0x12c89cf82a,bayonetta_windummy
0xe1ce82dc40,bayonetta_wing
0x121d8dcd1a,bayonetta_winsword
0x12f4d6cffe,bayonetta_wirerope
0x103d9bc489,bayonetta_wolfen
0x13f6964eb6,bayonetta_yoshibg01
0x1266e2602f,bayonetta_yoshimob
0xef3e22ae10,bayonetta_yoyo
0x12b416213f,bayonetta_yoyohead
0x10381db61a,brave_airshooter
0xbafbef9a70,brave_ally1
0xb36b7a81d0,brave_ally2
0xb41b0988b0,brave_ally3
0xbdfd40d280,brave_ally4
0xba8d33dbe0,brave_ally5
0xb31da6c040,brave_ally6
0xed724f06b0,brave_allyarm1
0xe4e2da1d10,brave_allyarm2
0xe392a91470,brave_allyarm3
0xed04934720,brave_allyarm5
0xe494065c80,brave_allyarm6
0x140c221d17,brave_allyarmbullet1
0x14952b4cad,brave_allyarmbullet2
0x14e22c7c3b,brave_allyarmbullet3
0x10bb0b00d1,brave_ancientbow
0x1567c62045,brave_ancientbowarrow
0xc1a5f590b0,brave_arrow1
0xc835608b10,brave_arrow2
0x1309fe6a20,brave_artisticpoint
0xc300488520,brave_arwing
0x106790f002,brave_arwingshot
0x17ff00827c,brave_attackairf_bullet
0xe4c3a38110,brave_auraball
0x13158971ed,brave_autoaimbullet
0x1170a62844,brave_autoreticle
0x9dbc4a21b0,brave_axe
0x10f316ab56,brave_background
0xe30f258c80,brave_backpack
0x12cc054f56,brave_balanceboard
0xda0024bb40,brave_balloon
0xf3eadf0750,brave_barreljet
0x103b5fe748,brave_barreljets
0x9283295a80,brave_bat
0xbef0d50d00,brave_baton
0xc0db3e90c0,brave_batten
0xa0998a5ef0,brave_beam
0xb6197023b0,brave_beast
0xc56861df70,brave_beetle
0xdc06a764b0,brave_bigbird
0x11d8ab7422,brave_bigbirdbase
0xfa4c465cf0,brave_bigpacman
0xede3f84d80,brave_bindball
0xa18b1a5bd0,brave_bird
0xfb6ffc2af0,brave_blackhole
0xd12eb23460,brave_blaster
0x1440d789f7,brave_blaster_bullet
0x124333511c,brave_blasterchest
0x116db452ab,brave_blasterhead
0x117245a173,brave_blasterwing
0x11831ef2c8,brave_blazepillar
0xe01e57ab90,brave_blizzard
0xa263cc1070,brave_blue
0x10f77e9974,brave_bluefalcon
0x1194444fe2,brave_blunderbuss
0xa380572a40,brave_bomb
0xca7f150b40,brave_bonnie
0xa73efa8820,brave_book
0xf0477f85f0,brave_boomerang
0x103f405f71,brave_bosspackun
0x1150583c5a,brave_bottomshoot
0x92fb8e99c0,brave_bow
0xebee7bd580,brave_bowarrow
0x11ebcd5a2c,brave_bowlingball
0x9bf07f40d0,brave_box
0xc6201d31a0,brave_breath
0xb24dbb58a0,brave_broom
0xb970454120,brave_bruce
0xba3773afe0,brave_brush
0xcbf05aa5f0,brave_bucket
0xedda8bc750,brave_building
0xce229ac8c0,brave_bullet
0xd19eaae930,brave_bunshin
0xb2fee488d0,brave_burst
0x998f8d75e0,brave_bus
0x12c379a252,brave_butterflynet
0x83d5dd2500,brave_c4
0xe8586ce6a0,brave_c4switch
0x9d49206e50,brave_can
0x1049023b31,brave_cannonball
0x92e9d3b860,brave_cap
0xb9bed5ae50,brave_cappy
0x12e4d0e959,brave_capsuleblock
0xd5749a1d70,brave_chakram
0x12aa98a892,brave_championbelt
0xd931ef88f0,brave_changer
0x12bdfe92be,brave_chaosemerald
0x10d8491ae0,brave_chargeshot
0xd90c3701d0,brave_chariot
0x12984d0d08,brave_chariotsight
0xb32e11be20,brave_chrom
0xaa42f2d780,brave_clay
0x1036b995d3,brave_clayrocket
0xb608cfee90,brave_cloud
0xc30d823ce0,brave_coffin
0xcb4b324860,brave_condor
0x162b19f319,brave_copy_inkling_gun
0x1735a115b3,brave_copy_inkling_tank
0xb56f35b090,brave_crack
0xdca23f8cb0,brave_cracker
0xb853818e20,brave_crash
0xf6401c9380,brave_crashbomb
0xb05c3fc040,brave_cross
0xb02a955d90,brave_crown
0xd43b36f3d0,brave_crystal
0xbc023451a0,brave_cshot
0xc182077e60,brave_cypher
0xee4ac5d180,brave_daimonji
0xf9f269d370,brave_deathball
0xa7d2321810,brave_dein
0xcdb07b7950,brave_dein_s
0xc0af31cfd0,brave_demonp
0xd021d3d880,brave_dengeki
0x1123cfbf5c,brave_dengekidama
0xb4893ed340,brave_diver
0xeaf5622820,brave_dkbarrel
0xeee54cabb0,brave_doclouis
0xb096b1b800,brave_dokan
0xc4260f3120,brave_dolfin
0x1013834ef7,brave_doseitable
0xb34b5cb5b0,brave_doyle
0x10217b0357,brave_dragonhand
0xff71a78b50,brave_drcapsule
0xe1a1ade320,brave_drmantle
0xc0de9966e0,brave_dunban
0xced4cb21d0,brave_elwind
0xb79f1754d0,brave_entry
0x114fa3fffc,brave_entryobject
0x9385417150,brave_esa
0x14584d8da9,brave_escapeairdummy
0xced0693a10,brave_esword
0xfd07a35bf0,brave_explosion
0x1410838a70,brave_explosiveflame
0x1c135ade87,brave_explosiveflame_reserve
0x13f5db61bd,brave_exprosiveshot
0xb72cc2fe80,brave_fairy
0x11451f5978,brave_falconpunch
0xbbf39d1650,brave_fence
0xf730c03f80,brave_finalbeam
0xf622503aa0,brave_finalbird
0xe2a6eb96e0,brave_finalcan
0x117db8af7b,brave_finalcutter
0x15c7b59c4a,brave_finalcuttershot
0xec87e3ac10,brave_finaldog
0xf911438e30,brave_finalduck
0x102ae6a3f5,brave_finalenemy
0x10797466af,brave_finalgrass
0x11ba175b22,brave_finalgunman
0xba099e3e30,brave_fiora
0xae0d4027c0,brave_fire
0xb438657180,brave_fire2
0xe130161720,brave_fireball
0x118d95e981,brave_firehydrant
0x16a9371f57,brave_firehydrantwater
0x10dae6e9e3,brave_firepillar
0xe347d41a90,brave_firework
0x112a8afab2,brave_fishingline
0x104a8c965a,brave_fishingrod
0x1145b9b978,brave_flamepillar
0xcf62cf8d10,brave_flare1
0xc6f25a96b0,brave_flare2
0x107c038b1b,brave_flaredummy
0x134562e7fd,brave_flaregrenades
0xbfd1eb73e0,brave_flash
0xcffed5d230,brave_flower
0xff51836950,brave_flowerpot
0xa6c3222440,brave_food
0xba1d4ae110,brave_forge
0xbc03bef830,brave_forte
0xf35c9e6e80,brave_fourwings
0x1217ef15f0,brave_fullthrottle
0xfc7b08e100,brave_furniture
0xb96e387db0,brave_fusin
0x113fe75ed5,brave_fusionsword
0xc7188b3000,brave_ganond
0xcb824e61a0,brave_garlic
0xa002193270,brave_gate
0xb2f36c53d0,brave_gbeam
0xfb39ef2ce0,brave_gekkougas
0xe55dc15900,brave_gigafire
0x11c82ffeca,brave_gimmickjump
0xd1b126b6b0,brave_godwing
0xef8f10cdb0,brave_gomorrah
0xf92a2bdf60,brave_gongfinal
0xb574c3d7c0,brave_gordo
0xbfadd77ce0,brave_grass
0xdaed993950,brave_grenade
0x1538fa8f31,brave_grenadelauncher
0x100906d71d,brave_groundbomb
0x9fd35796c0,brave_gun
0xc8021a3fd0,brave_gunman
0x12dd230c2f,brave_gunmanbullet
0x122fe25ceb,brave_gunnercharge
0xdb1ddbc570,brave_gunship
0xaa49b2f770,brave_gyro
0x10372e7e08,brave_gyroholder
0xddb51b0830,brave_hadoken
0xa24fd6aaa0,brave_hair
0xc86cf16cf0,brave_hammer
0x11cf91e33d,brave_hardknuckle
0x925a5107e0,brave_hat
0xc2290725f0,brave_helmet
0xe38e64a160,brave_himohebi
0xfee39ed160,brave_himohebi2
0xad0c736220,brave_hole
0x11cbcec4ae,brave_hominglaser
0x12e5f1ade8,brave_homingtarget
0xeba1629be0,brave_hookshot
0x12da7fe90c,brave_hookshothand
0xa9354d0750,brave_horn
0xb304ac7250,brave_horse
0xb3505d1a00,brave_house
0xe304ef0d50,brave_hugebeam
0x1187d16f28,brave_hugecapsule
0xf91dbfbbb0,brave_hugeflame
0xe30a682330,brave_hulahoop
0x97ce138390,brave_ice
0xd8925fa690,brave_iceberg
0x12d5106013,brave_iceberg_wind
0x10b8830b17,brave_iceberghit
0xd128a74020,brave_iceshot
0xee2b0fbbd0,brave_illusion
0xff0254cb20,brave_inkbullet
0xe67609bbe0,brave_ironball
0xf61b23a450,brave_jethammer
0xe626613630,brave_kaminari
0xa761dabeb0,brave_kart
0xcc2490fb30,brave_kassar
0xd879b03d90,brave_kinopio
0x1263e1247b,brave_kinopiospore
0xbe89070150,brave_knife
0xc082d03470,brave_koopag
0xefa66f2bc0,brave_kumatora
0x115a60ea26,brave_kurofukuhat
0xbbb9c4cf10,brave_laser
0xcd0d4e0cb0,brave_laser2
0x102b8ae461,brave_leafcutter
0x102aadfdd4,brave_leafshield
0xdd84a05820,brave_leftarm
0xf20a4f2330,brave_lightning
0x13b46bfcd9,brave_lightshuriken
0x109469ba69,brave_littlemacg
0x14b863078e,brave_lock_on_cursor
0x120cea8e9d,brave_lockoncursor
0x170445bd7c,brave_lockoncursorready
0xe1d95998c0,brave_lucariom
0xf4fd73a2c0,brave_magichand
0xff537b2160,brave_mainlaser
0xc85518ee30,brave_mantle
0xb488d2ca30,brave_mario
0xac765c8830,brave_mask
0xf63cd182f0,brave_maskfinal
0xba0263b9b0,brave_mball
0x14e5f97edc,brave_megaphonelaser
0xa803e63340,brave_melt
0xcfa6f809b0,brave_meteor
0xdc47a03da0,brave_mewtwom
0x10067dd3d6,brave_miimissile
0x122f729739,brave_miipartshead
0xa042c97a50,brave_milk
0xde8a108530,brave_missile
0xad242608b0,brave_mona
0xefe8d43fc0,brave_moneybag
0x1119036c78,brave_monsterball
0xa5be64c5b0,brave_moon
0x109fc671ab,brave_narrowbeam
0xa5b1ee2600,brave_navy
0xc3d627efc0,brave_needle
0x104f024331,brave_needlehave
0x153fe48a6a,brave_newdededehammer
0xc95e32bdd0,brave_nikita
